ECOSIMCONCEPT:Volatilization,Volatilization,"Transition of a substance from liquid to gas",ECOSIMCONCEPT:Attribute
ECOSIMCONCEPT:Volume,Volume,"Amount of space occupied in three dimensions",ECOSIMCONCEPT:Attribute
ECOSIMCONCEPT:VolumeFraction,Volume fraction,"Fraction of the total volume occupied" ,ECOSIMCONCEPT:Attribute
ECOSIMCONCEPT:WaterContent,Water content,"Amount of water present" ,ECOSIMCONCEPT:Attribute
ECOSIMCONCEPT:WaterDistribution,Water distribution,"The way water is spread over an area",ECOSIMCONCEPT:Attribute
ECOSIMCONCEPT:WaterFlux,Water flux,"The rate of flow of water",ECOSIMCONCEPT:Attribute
ECOSIMCONCEPT:WaterHoldingCapacity,Water holding capacity,"The maximum amount of water that can be held",ECOSIMCONCEPT:Attribute
ECOSIMCONCEPT:WaterTransfer,Water transfer,"The movement of water from one place to another",ECOSIMCONCEPT:Attribute
ECOSIMCONCEPT:Width,Width,"The measurement or extent from side to side",ECOSIMCONCEPT:Attribute
ECOSIMCONCEPT:Altitude,Altitude,,ECOSIMCONCEPT:Attribute
ECOSIMCONCEPT:Area,Area,,ECOSIMCONCEPT:Attribute

